SSOP,TAP,EX,PIMS Punch,SPIE,NR13,SIG,TagLines,TOOLs,TRAINING,CTO,F.Status,Primeiro Description
5148-509,OK,NOK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Hull Power Receptacle for Diving Equipment MCC 480V PN-5148507
5148-510,OK,NOK,NOK,OK,OK,OK,OK,NOK,NOK,OK,NOK,Low-Voltage Hull Power Receptacle for Diving Equipment MCC 480V PN-5148508
5148-511,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,480 POWER SOCKET
5148-512,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Hull Power Receptacle for Diving Equipment Transformer 0.69-0.48kV TF-5148502
5148-513,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Hull Power Receptacle for Diving Equipment Transformer 0.69-0.48kV TF-5148503
5149-501,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ESSENTIAL LIGHTING PANEL - MAIN DECK - PL-5148513
5149-502,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ESSENTIAL LIGHTING PANEL - MAIN DECK - PL-5148514
5149-503,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL ESSENTIAL LIGHTING PANEL - PL-5148501 CIRCUITS
5149-504,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL ESSENTIAL LIGHTING PANEL - PL-5148502 CIRCUITS
5149-505,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL ESSENTIAL LIGHTING PANEL - PL-5148503 CIRCUITS
5149-506,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION ESSENTIAL LIGHTING PANEL - PL-5148504 CIRCUITS
5149-507,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION ESSENTIAL LIGHTING PANEL - PL-5148505 CIRCUITS
5149-508,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,Check,NOK,220V ACCOMMODATION ESSENTIAL LIGHTING PANEL - PL-5148506 CIRCUITS
5149-509,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION ESSENTIAL LIGHTING PANEL - PL-5148507 CIRCUITS
5149-510,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,Check,NOK,220V ACCOMMODATION ESSENTIAL LIGHTING PANEL - PL-5148508 CIRCUITS
5149-511,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION ESSENTIAL LIGHTING PANEL - PL-5148509 CIRCUITS
5149-512,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION ESSENTIAL LIGHTING PANEL - PL-5148510 CIRCUITS
5149-513,NOK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,HELIDECK LIGHTS SYSTEM PL-5148512
5149-514,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V M-15B ESSENTIAL LIGHTING PANEL - PL-5148115 CIRCUITS
5149-515,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,Essential Lighting Panel Laboratory PL-8222002
5149-516,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,AVIATION OBSTRUCTION LIGHT SYSTEM FROM PL-5148511
5241-501,NOK,OK,NOK,NOK,OK,NOK,NOK,NOK,NOK,Check,NOK,"INERT GAS GENERATION UNIT A, DECK WATER SEAL MAIN AND DISTRIBUTION"
5241-502,NOK,OK,NOK,NOK,OK,NOK,NOK,NOK,NOK,OK,NOK,INERT GAS GENERATION UNIT B AND DECK WATER SEAL AUXILIARY
5241-503,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,FUEL GAS SUPPLY CABINET A
5241-504,NOK,OK,OK,OK,OK,NOK,NOK,NOK,NOK,OK,NOK,FUEL GAS SUPPLY CABINET B
5241-505,NOK,OK,OK,OK,OK,NOK,NOK,NOK,NOK,OK,NOK,INERT GAS GENERATOR SEAWATER PUMP & DISTRIBUTION
5241-506,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,INERT GAS SEAL PUMP & DISTRIBUTION
5241-507,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,Check,NOK,PURGING AND STRIPPING SYSTEM FOR SUBMERGED PUMPS PIPE STACKS
5241-508,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,DIESEL OIL DAILY TANK & PUMP UNIT A & B
5241-509,NOK,OK,OK,NOK,OK,NOK,NOK,NOK,NOK,Check,NOK,CLOSED VENTING HEADER
5241-510,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,Check,NOK,VENT PURGE HEADER
5241-511,NOK,OK,OK,NOK,OK,OK,NOK,NOK,NOK,OK,NOK,INERT GAS PURGE HEADER
5251-501,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR ENGINE ROOM
5251-502,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR HULL TRANSFORMER ROOM 2
5251-503,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR ESCAPE TRUNK
5251-504,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR PAINT SHOP/PAINT STORE
5251-505,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,Check,NOK,SUPPLY FAN FOR AUXILIARY GENERATOR ROOM
5251-506,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,Check,NOK,SUPPLY FAN FOR EMERGENCY GENERATOR ROOM
5251-507,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR HPU FWD ROOM
5251-508,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR HULL NORMAL TRANSFORMER ROOM
5251-509,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR INERT GAS GENERATOR ROOM
5251-510,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR TOWING ROOM EASTSIDE/ACCESS SPACE AND LOCKER
5251-511,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR TOWING ROOM PORTSIDE/HVAC ROOM
5251-512,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR TEMPORARY REFUGE/CORRIDOR AND FWD AIR LOCK
5251-513,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR HULL COMPRESSOR ROOM
5251-514,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR HPU ROOM
5251-515,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR  INERGEN ROOM
5251-516,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR FOAM TANK SPACE FOR TOPSIDES
5251-517,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR WELDING WORKSHOP
5251-518,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR FOAM TANK SPACE
5251-519,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR LAUNDRY AREAS
5251-520,NOK,OK,NOK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR WAREHOUSE MEZZANINNE
5251-521,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR GALLEY
5251-522,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR LQ STAIR
5251-523,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR HULL BATTERIES ROOM 1
5251-524,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY & EXHAUST FANS FOR HULL BATTERIES ROOM 2
5251-525,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR HVAC AREA C1
5251-526,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR HVAC AREA C3
5251-527,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR GALLEY CORRIDOR
5251-528,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR ELEVATOR MACHINERY ROOM
5251-529,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,EXHAUST FAN FOR NITROGEN GENERATOR ROOM
5251-530,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,SUPPLY FAN FOR FWD INERGEN ROOM
5251-531,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,EXHAUST FAN FOR NAVY/SAFETY STORE
5251-532,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,EXHAUST FAN FOR WAREHOUSE GARBAGE
5251-533,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,EXHAUST FAN FOR GALLON AREA/STAFF WC MALE-FEMALE
5251-534,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,EXHAUST FAN FOR BAKERY/WASH AREA
5251-535,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,"EXHAUST FAN FOR TREATMENT AREA, CLINIC, INFIRMARY"
5251-536,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,EXHAUST FAN FOR LQ GENERAL
5251-537,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,EXHAUST FAN FOR BATTERY ROOM F DECK
5251-538,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,EXHAUST FAN FOR EIT CABLE TRUNK
5251-539,OK,OK,OK,NOK,OK,NOK,OK,NOK,OK,OK,NOK,HVAC DISTRIBUTION PANEL FOR DAMPER PANEL PN-5250501 AND DAMPER PANELS
5251-540,OK,OK,NOK,NOK,OK,NOK,OK,NOK,OK,OK,NOK,HVAC DISTRIBUTION PANEL FOR DAMPER PANEL PN-5250502 AND DAMPER PANELS
5251-541,OK,OK,OK,NOK,OK,NOK,OK,NOK,OK,OK,NOK,HVAC DISTRIBUTION PANEL FOR DAMPER PANEL PN-5250503 AND DAMPER PANELS
5251-542,OK,OK,OK,NOK,OK,NOK,OK,NOK,OK,OK,NOK,HVAC DISTRIBUTION PANEL FOR DAMPER PANEL PN-5250504 AND DAMPER PANELS
5251-543,OK,OK,NOK,NOK,OK,OK,OK,NOK,OK,OK,NOK,HVAC DISTRIBUTION PANEL FOR DAMPER PANEL PN-5250505 AND DAMPER PANELS
5251-544,OK,OK,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,HVAC DISTRIBUTION PANEL FOR DAMPER PANEL PN-5250506 AND DAMPER PANELS
5251-545,OK,OK,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,HVAC DISTRIBUTION PANEL FOR DAMPER PANEL PN-5250507 AND DAMPER PANELS
5252-505,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,CHILLED WATER PUMPS(SECONDARY SYSTEM) B-5252502A/B&HEADER
5252-506,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,CHILLED WATER PUMPS(SECONDARY SYSTEM) B-5252503A/B&HEADER
5252-507,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,AIR HANDLING UNIT A/B FOR LQ GENERAL
5252-511,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,AIR HANDLING UNIT A/B FOR SEISMIC CONTROL ROOM/SEISMIC PANEL ROOM
5252-512,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,AIR HANDLING UNIT A/B FOR ESSENTIAL PANEL ROOM
5252-513,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,AIR HANDLING UNIT A/B FOR MESS ROOM
5252-514,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,AIR HANDLING UNIT A/B FOR GALLEY
5252-515,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,AIR HANDLING UNIT A/B FOR HULL NORMAL PANEL ROOM
5252-517,NOK,OK,NOK,OK,OK,OK,OK,NOK,NOK,OK,NOK,FAN COIL UNIT FOR LQ MAIN DECK
5252-518,NOK,OK,NOK,OK,OK,OK,OK,NOK,NOK,OK,NOK,FAN COIL UNIT FOR LQ A DECK
5252-519,NOK,OK,NOK,OK,OK,OK,OK,NOK,NOK,OK,NOK,FAN COIL UNIT FOR LQ B DECK
5252-520,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,FAN COIL UNIT FOR LQ C DECK
5252-521,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,FAN COIL UNIT FOR LQ D DECK
5252-522,NOK,OK,NOK,OK,OK,NOK,NOK,NOK,NOK,OK,NOK,FAN COIL UNIT FOR LQ E DECK
5252-523,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,FAN COIL UNIT FOR LQ F DECK
5252-524,NOK,OK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,LQ AIR CONDITIONING FOR MAIN DECK
5252-525,NOK,OK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,LQ AIR CONDITIONING FOR A DECK
5252-526,NOK,OK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,LQ AIR CONDITIONING FOR B DECK
5252-527,NOK,OK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,LQ AIR CONDITIONING FOR C DECK
5252-528,NOK,OK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,LQ AIR CONDITIONING FOR D DECK
5252-529,NOK,OK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,LQ AIR CONDITIONING FOR E DECK
5252-530,NOK,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,NOK,HVAC FOR M15B
5252-531,NOK,OK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,HVAC FOR M15B AUXILIARY GENERATOR ROOM
5253-502,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,REFRIGERANT CALL ALARM SYSTEM
5261-501,NOK,OK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,EMERGENCY GENERATOR PACKAGE UG-5261501
5262-501,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,AUXILIARY GENERATOR PACKAGE I UG-5262501
5262-502,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,OK,NOK,AUXILIARY GENERATOR PACKAGE II UG-5262502
5263-501,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263503A
5263-502,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263503B
5263-503,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263504A
5263-504,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263504B
5263-505,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263505A
5263-506,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263505B
5263-507,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263506A
5263-508,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263506B
5263-509,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263507A
5263-510,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263507B
5263-511,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263508A
5263-512,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263508B
5263-513,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263509A
5263-514,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263509B
5263-515,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263510A
5263-516,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263510B
5263-517,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263511A
5263-518,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263511B
5263-519,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,Check,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263512A
5263-520,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263512B
5263-521,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263513A
5263-522,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263513B
5263-525,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263515
5263-526,NOK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263516
5263-527,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263517A
5263-528,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC EMERGENCY LIGHTING PANEL PCC-5263517B
5263-529,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,Emergency Lighting Panel Laboratory PCC-8222001A
5263-530,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,Emergency Lighting Panel Laboratory PCC-8222001B
5263-532,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,EMERGENCY LIGHTING PANEL M-15B PCC-5263115A
5263-533,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,EMERGENCY LIGHTING PANEL M-15B PCC-5263115B
5263-534,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,HULL EMERGENCY LIGHTING DISTRIBUTION PANEL PCC-5263501A
5263-535,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,HULL EMERGENCY LIGHTING DISTRIBUTION PANEL PCC-5263501B
5264-501,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,DC CHARGER AND BATTERY BANK CB-5264501
5264-502,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,DC CHARGER AND BATTERY BANK CB-5264502 PAGA A
5264-503,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,DC CHARGER AND BATTERY BANK CB-5264503 PAGA B
5264-504,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,DC CHARGER AND BATTERY BANK CB-5264504 GMDSS
5264-505,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,DC CHARGER AND BATTERY BANK CB-5264505 OPERATIONAL RADIO
5264-506,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,DC CHARGER AND BATTERY BANK CB-5264506 UHF ACTIVE REPEATER
5264-507,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,DC CHARGER AND BATTERY BANK CB-5264507
5264-508,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,TELECOM DC ENERGY PANEL -48V DC QCC-5264501
5264-509,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,TELECOM DC ENERGY PANEL -48V DC QCC-5264502
5264-510,OK,OK,NOK,OK,OK,NOK,OK,NOK,OK,OK,NOK,AC PANEL FOR TELECOMMUNICATION LOADS - PN-5264501
5264-511,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,AC PANEL FOR TELECOMMUNICATION LOADS - PN-5264502
5264-512,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,AC PANEL FOR TELECOMMUNICATION LOADS - PN-5264503
5264-513,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,UPS AC PANEL FOR TELECOMMUNICATION LOADS PN-5264504
5264-514,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,UPS AC PANEL FOR TELECOMMUNICATION LOADS PN-5264505
5264-515,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,UPS AC PANEL FOR TELECOMMUNICATION LOADS PN-5264506
5264-516,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,UPS AC PANEL FOR TELECOMMUNICATION LOADS PN-5264507
5264-517,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,UPS AC PANEL FOR TELECOMMUNICATION LOADS PN-5264508
5265-501,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,HULL 220V DC EMERGENCY LOADS UPS A CB-5265501A
5265-502,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,HULL 220V DC EMERGENCY LOADS UPS B CB-5265501B
5265-503,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL EMERGENCY LOADS DISTRIBUTION PANEL 220VDC - PCC-5265501A
5265-504,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL EMERGENCY LOADS DISTRIBUTION PANEL 220VDC - PCC-5265501B
5265-505,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,HULL 220V DC EMERGENCY LIGHTING UPS A CB-5263501A
5265-506,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,HULL 220V DC EMERGENCY LIGHTING UPS B CB-5263501B
5265-509,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V DC CCR EMERGENCY LOADS DB PCC-5265502
5265-510,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V AC HULL EMERGENCY LOADS DB PN-5265501
5265-511,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,NAVIAID SYSTEM
5266-501,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,ACCOMMODATION ELEVATOR
5266-502,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,LIFTING & HANDLING EQUIPMENT
5267-501,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,ICCP (IMPRESSED CURRENT CATHODIC PROTECTION) SYSTEM
5268-501,NOK,NOK,NOK,NOK,OK,NOK,NOK,NOK,NOK,OK,NOK,HYDRAULIC POWER UNIT & RISER PULL-IN WINCHES
5271-501,NOK,OK,OK,OK,OK,NOK,NOK,NOK,NOK,OK,NOK,BUTTERWORTH PUMP A & DISTRIBUTION (B-5271502A)
5271-502,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,BUTTERWORTH PUMP B (B-5271502B)
5271-504,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,SLOP PUMP B (B-5271501B)
5271-505,NOK,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,NOK,TANK CLEANING MACHINE
5310-501,NOK,OK,OK,NOK,OK,OK,NOK,NOK,NOK,OK,NOK,SEWAGE TREATMENT UNIT AND DISCHARGE (Z-5312502A/B)
5310-502,NOK,OK,OK,NOK,OK,OK,NOK,NOK,NOK,OK,NOK,BLACK WATER COLLECTION
5310-503,NOK,OK,OK,NOK,OK,NOK,NOK,NOK,NOK,OK,NOK,GRAY WATER COLLECTION
5310-504,NOK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,GARBAGE CRUSHER
5331-501,NOK,NOK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,PRODUCED WATER TANK(PS) & BOOSTER PUMP A/B (B-5331501A/B)
5331-502,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,PRODUCED WATER TRANSFER PUMP A/B(B-5331502A/B)
5331-503,NOK,NOK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,PRODUCED WATER TANK(SB) & BOOSTER PUMP C/D(B-5331501C/D)
5331-504,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,PRODUCED WATER TRANSFER PUMP C/D(B-5331502C/D)
5335-501,NOK,OK,OK,OK,OK,NOK,NOK,NOK,NOK,OK,NOK,BALLAST PUMP A AND DISTRIBUTION
5335-502,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,BALLAST PUMP B AND DISTRIBUTION
5335-503,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,"BALLAST TANKS (PS),TANK VENTING AND SOUNDING"
5335-504,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,"BALLAST TANKS (SB),TANK VENTING AND SOUNDING"
5335-505,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,"AFT BALLAST TANK_NO9(PS, SB)"
5336-502,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,SLOP OIL SKIMMING PUMP A/B  (B-1358501A/B)
5336-503,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,DIRTY OIL DRAIN HEADER
5336-504,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,SCUPPERS AND COAMING DRAINS IN ENGINE ROOM
5336-505,NOK,OK,OK,OK,OK,OK,NOK,NOK,OK,OK,NOK,EXPOSED AREA DECK DRAINAGE HEADER
5336-506,NOK,OK,OK,OK,OK,OK,NOK,NOK,OK,OK,NOK,OPEN DRAIN HEADER
5336-507,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,OIL SKIMMING PUMP A/B (B-5336502A/B)
5336-508,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,OIL SKIMMING PUMP C/D (B-5336502C/D)
5336-509,NOK,OK,OK,OK,OK,OK,NOK,NOK,OK,OK,NOK,ACCOMMODATION CONDENSATION DRAINAGE
5336-511,NOK,OK,OK,NOK,OK,NOK,OK,NOK,NOK,OK,NOK,SLUDGE TANK AND PUMP (B-5330503)
