SSOP,TAP,EX,PIMS Punch,SPIE,NR13,SIG,TagLines,TOOLs,TRAINING,CTO,F.Status,Primeiro Description
1300-504,OK,NOK,OK,OK,OK,OK,OK,NOK,NOK,Check,NOK,CONTROL AND MONITORING FOR RISER SUPPORTS-GROUP 4
1300-505,OK,NOK,OK,OK,OK,OK,OK,NOK,NOK,Check,NOK,CONTROL AND MONITORING FOR RISER SUPPORTS-GROUP 5
1300-506,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,Check,NOK,CONTROL AND MONITORING FOR RISER SUPPORTS-GROUP 6
1300-507,OK,NOK,OK,OK,OK,OK,OK,NOK,NOK,Check,NOK,CONTROL AND MONITORING FOR RISER SUPPORTS-GROUP 7
1300-508,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,Check,NOK,CONTROL AND MONITORING FOR RISER SUPPORTS-GROUP 8
1300-509,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,Check,NOK,CONTROL AND MONITORING FOR RISER SUPPORTS-GROUP 9
1300-510,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,Check,NOK,CONTROL AND MONITORING FOR RISER SUPPORTS-GROUP 10
1357-501,NOK,OK,NOK,NOK,OK,NOK,OK,OK,NOK,OK,NOK,MOORING SYSTEM HPU AND AFT MOORING SYSTEM (UH-5139505A & Z-5139501C/D)
1357-502,NOK,OK,OK,NOK,OK,NOK,OK,OK,NOK,OK,NOK,MOORING SYSTEM HPU AND FWD STARBOARD MOORING SYSTEM (UH-5139505B & Z-5139501A/B)
1358-501,NOK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,LOADING HEADER
1358-502,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO1 WING (PS) AND HEADER (B-1350501A & TQ-1358501P)
1358-503,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO3 WING (PS) (B-1350501E & TQ-1358503P)
1358-504,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO4 WING (PS) (B-1350501G & TQ-1358504P)
1358-505,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO5 WING (PS) (B-1350501K & TQ-1358505P)
1358-506,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO6 WING (PS) (B-1350501N & TQ-1358506P)
1358-507,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO7 WING (PS) (B-1350501R & TQ-1358507P)
1358-508,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO1 WING (SB) (B-1350501C & TQ-1358501S)
1358-509,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO3 WING (SB) (B-1350501F & TQ-1358503S)
1358-510,NOK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO4 WING (SB) (B-1350501J & TQ-1358504S)
1358-511,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO5 WING (SB) (B-1350501M & TQ-1358505S)
1358-512,NOK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO6 WING (SB) (B-1350501Q & TQ-1358506S)
1358-513,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO7 WING (SB) (B-1350501T & TQ-1358507S)
1358-514,NOK,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO1 CENTRAL (B-1350501B & TQ-1358501C)
1358-515,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO2 CENTRAL (B-1350501D & TQ-1358502C)
1358-516,OK,NOK,OK,OK,OK,OK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO4 CENTRAL (B-1350501H & TQ-1358504C)
1358-517,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO5 CENTRAL (B-1350501L & TQ-1358505C)
1358-518,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO6 CENTRAL (B-1350501P & TQ-1358506C)
1358-519,OK,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,NOK,CARGO TANK & PUMP_NO7 CENTRAL (B-1350501S & TQ-1358507C)
1358-520,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,COFFERDAM DRAINAGE SYSTEM AND VOID SPACE (TQ-1358508 & TQ-1358510C)
1359-501,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,OFFLOADING MANIFOLD
1359-502,NOK,OK,NOK,NOK,OK,OK,NOK,NOK,NOK,OK,NOK,OFFLOADING SYSTEM AFT (Z-1359502)
1359-503,NOK,NOK,NOK,NOK,OK,OK,NOK,NOK,NOK,OK,NOK,OFFLOADING SYSTEM FWD (Z-1359506)
5111-502,NOK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,ENGINE ROOM COOLING SEAWATER PUMP A/B/C & DISTRIBUTION
5111-503,NOK,OK,NOK,OK,OK,OK,OK,NOK,OK,OK,NOK,"BALLAST (AFT), BILGE AND GENERAL SERVICE PUMP & DISTRIBUTION （B-5330502A/B）"
5115-503,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,FRESH WATER FOR MAIN DECK DISTRIBUTION
5115-504,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,"DISTILLED WATER STORAGE TANKS, PUMPS & DISTRIBUTION (B-5115503A/B & TQ-5115501S/P)"
5115-505,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,FRESH WATER FOR ENGINE ROOM DISTRIBUTION
5121-502,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,POTABLE WATER TO ACCOMMODATION AND ENGINE ROOM DISTRIBUTION
5121-503,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,POTABLE WATER TO FORE CASTLE FROM TOPSIDE POTABLE WATER DISTRIBUTION
5121-504,NOK,OK,OK,OK,OK,OK,NOK,NOK,NOK,OK,NOK,POTABLE WATER TO LABORATORY EQUIPMENT -M15B
